Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
ADBE,2009-09-15,35.29,35.78,34.8,10762496.0,35.62,0.9400,1.0600
ADBE,2009-09-23,33.03,33.33,32.68,6942945.0,32.71,0.0000,2.0100
ADBE,2009-09-28,32.2,33.26,32.12,5849270.0,32.93,2.4400,0.0000
ADBE,2009-12-07,36.46,36.84,36.2,3119497.0,36.37,0.0000,2.7800
ADBE,2009-12-15,35.58,36.66,35.5,8022826.0,36.36,1.6000,2.0000
ADBE,2009-12-16,36.87,38.2,36.87,15619499.0,37.86,1.1600,1.0000
ADBE,2010-01-27,33.68,33.68,32.65,9897033.0,33.14,0.0000,2.3000
ADBE,2010-02-02,32.54,33.13,32.31,5735692.0,32.98,0.0000,1.7300
ADBE,2010-02-12,32.25,32.28,31.28,21221535.0,31.45,0.1600,0.5800
ADBE,2010-03-03,34.87,35.15,34.61,4098896.0,34.82,0.0000,0.0000
ADBE,2010-03-05,35.08,35.44,34.93,8381817.0,35.16,0.0000,1.9900
ADBE,2010-03-12,35.22,35.27,35.11,6262320.0,35.16,0.0000,2.2200
ADBE,2010-03-23,35.26,35.42,34.69,8504413.0,35.22,1.5600,0.0000
ADBE,2010-03-24,37.12,37.3,36.48,16779260.0,36.51,1.2100,1.0900
ADBE,2010-03-25,36.66,36.79,35.86,6566504.0,35.87,0.0000,2.5000
ADBE,2010-03-30,35.78,35.9,35.29,3469775.0,35.68,1.6400,0.0000
ADBE,2010-03-31,35.62,35.7,35.27,4436693.0,35.37,0.0000,1.6700
ADBE,2010-04-09,34.57,35.47,34.44,7205458.0,35.47,1.2600,0.9500
ADBE,2010-04-12,35.42,35.54,34.91,5690518.0,35.02,0.6000,0.9300
ADBE,2010-04-13,34.86,35.09,34.51,5825662.0,34.75,0.0000,1.8000
ADBE,2010-04-14,34.63,35.04,34.57,5037655.0,35.02,1.5600,0.0000
ADBE,2010-04-15,35.09,35.1,34.17,9548432.0,34.39,1.1100,0.0000
ADBE,2010-04-19,33.81,34.2,33.32,6817180.0,33.82,0.9500,0.4500
ADBE,2010-04-21,34.8,35.09,34.79,6896160.0,34.92,0.0000,2.0000
ADBE,2010-04-22,35.41,36.02,35.0,11649929.0,35.97,1.9300,0.0000
ADBE,2010-04-29,35.27,35.56,34.54,10958301.0,34.96,0.4200,1.5900
ADBE,2010-04-30,34.97,34.99,33.56,12735726.0,33.6,0.0000,2.1900
ADBE,2010-05-04,33.12,33.17,32.22,11029965.0,33.14,0.0000,2.5000
ADBE,2010-05-06,32.8,33.74,30.24,14650308.0,32.49,0.0000,2.6100
ADBE,2010-05-13,34.79,35.4,34.36,4957902.0,34.41,1.2000,0.0000
ADBE,2010-05-24,31.82,32.17,31.61,6543793.0,31.63,0.0000,2.7200
ADBE,2010-05-25,30.75,31.56,30.48,6368703.0,31.55,0.0000,0.8000
ADBE,2010-05-26,31.65,31.72,30.8,8820591.0,30.94,0.0000,3.3300
ADBE,2010-06-03,32.92,33.16,32.65,8847417.0,32.9,0.0000,0.6000
ADBE,2010-06-04,32.15,32.47,31.49,8507492.0,31.59,0.5300,0.0000
ADBE,2010-06-07,31.7,31.74,30.94,8385497.0,31.06,0.0000,2.4200
