Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
AMZN,2009-09-02,79.04,80.15,77.8,6521511.0,78.14,0.6600,0.4600
AMZN,2009-09-04,78.27,79.78,77.63,4672738.0,78.87,2.6500,0.0000
AMZN,2009-09-11,84.44,84.9,83.76,6008763.0,84.54,0.0000,2.5700
AMZN,2009-09-14,83.81,84.57,83.46,3572198.0,83.86,0.0000,1.9400
AMZN,2009-09-15,84.17,84.41,82.79,4453318.0,83.55,1.0500,1.1000
AMZN,2009-09-16,85.91,90.98,85.9,13114218.0,90.7,1.1400,0.9200
AMZN,2009-09-17,90.75,91.19,89.0,7873925.0,90.44,2.3800,0.0000
AMZN,2009-09-18,90.74,91.0,89.47,6770503.0,90.28,1.3600,0.0000
AMZN,2009-09-22,91.46,94.19,91.1,8268508.0,93.75,1.0500,0.1400
AMZN,2009-09-23,92.82,94.5,92.22,5685737.0,92.38,0.7800,0.6800
AMZN,2009-09-25,91.44,92.25,89.75,4257438.0,90.52,1.0800,0.0000
AMZN,2009-09-28,91.04,92.81,90.6,3508883.0,92.21,2.8800,0.0000
AMZN,2009-09-30,92.26,94.17,91.43,8539171.0,93.36,1.7600,0.3300
AMZN,2009-10-01,92.5,92.9,90.37,6645100.0,91.04,0.3400,1.3400
AMZN,2009-10-02,90.05,91.14,89.58,5040763.0,89.85,2.3300,0.0000
AMZN,2009-10-07,91.5,94.48,91.15,7446537.0,93.97,1.9100,0.0200
AMZN,2009-10-08,94.8,96.72,94.23,9679473.0,95.22,2.3300,0.0000
AMZN,2009-10-12,96.17,96.25,93.07,5592819.0,93.6,0.0000,2.6600
AMZN,2009-10-14,96.22,97.82,96.02,5556728.0,97.46,1.1800,0.4200
AMZN,2009-10-15,95.13,97.06,95.08,6247458.0,96.01,0.0000,2.8900
AMZN,2009-10-16,95.3,96.12,93.61,7040171.0,95.32,2.0800,0.0000
AMZN,2009-10-20,95.91,96.1,94.27,7779453.0,94.98,0.0400,0.0000
AMZN,2009-10-21,95.27,96.63,92.91,7761183.0,93.42,0.0000,1.5900
AMZN,2009-10-22,93.66,94.1,91.7,16518488.0,93.45,1.4900,0.4300
AMZN,2009-10-23,111.05,119.65,110.62,58305777.0,118.49,1.1400,0.6600
AMZN,2009-10-26,119.21,125.68,118.49,32271172.0,124.64,0.8800,0.9600
AMZN,2009-10-27,122.93,124.26,119.42,20304181.0,122.07,0.0000,2.1400
AMZN,2009-10-28,121.57,125.12,120.76,16887612.0,121.64,1.3300,0.3000
AMZN,2009-10-29,123.9,124.3,120.12,12820836.0,122.58,0.3500,1.5300
AMZN,2009-10-30,121.97,122.9,118.21,13316374.0,118.81,0.0000,1.7500
AMZN,2009-11-02,118.66,119.5,116.71,11281917.0,118.84,0.6000,0.7500
AMZN,2009-11-03,117.67,118.88,116.63,9481397.0,118.37,1.3700,0.4700
AMZN,2009-11-04,119.0,119.25,116.76,7617909.0,117.1,1.2800,0.6500
AMZN,2009-11-05,117.46,120.95,116.25,9091150.0,120.61,0.9700,0.7600
AMZN,2009-11-06,123.0,126.98,122.67,13229961.0,126.2,1.3400,0.4400
AMZN,2009-11-09,127.11,128.32,125.59,8633579.0,126.67,1.0000,0.8900
AMZN,2009-11-10,126.8,130.61,126.0,10532558.0,130.15,1.3800,0.2500
AMZN,2009-11-11,131.08,131.31,128.33,7435623.0,129.91,0.7400,0.3700
AMZN,2009-11-12,129.98,132.15,129.98,7212653.0,130.53,0.0000,2.4000
AMZN,2009-11-13,131.16,132.99,129.75,7383213.0,132.97,0.0000,1.8000
AMZN,2009-11-16,132.12,134.56,130.98,9018242.0,131.59,0.0000,1.8000
AMZN,2009-11-17,131.4,131.85,129.32,7750892.0,131.25,0.4000,1.4000
AMZN,2009-11-19,130.54,130.54,128.48,6000582.0,128.99,0.0000,2.2100
AMZN,2009-11-20,127.76,129.99,127.41,6655545.0,129.66,2.1000,0.0000
AMZN,2009-11-24,133.57,134.33,132.22,7319683.0,132.94,0.0000,2.2200
AMZN,2009-11-25,133.31,134.2,132.4,5076447.0,134.03,1.7900,0.0000
AMZN,2009-11-27,130.3,133.0,129.88,4422567.0,131.74,0.0000,0.5100
AMZN,2009-11-30,132.19,136.08,132.16,10127170.0,135.91,2.7800,0.0000
AMZN,2009-12-01,136.94,139.35,135.75,9657579.0,138.5,1.4700,0.0000
AMZN,2009-12-02,139.15,142.67,138.96,11797944.0,142.25,1.3600,0.7000
AMZN,2009-12-03,143.62,145.91,140.77,16523480.0,141.17,0.3000,1.1300
AMZN,2009-12-04,143.42,143.45,135.11,14830864.0,137.58,2.0300,0.0000
AMZN,2009-12-07,138.0,139.0,133.84,7842080.0,134.21,1.4000,1.1600
AMZN,2009-12-08,134.3,136.08,132.87,8006894.0,134.11,1.6900,0.0100
AMZN,2009-12-09,134.6,134.71,129.82,12632819.0,131.31,1.5700,0.2800
AMZN,2009-12-10,132.41,136.19,132.4,11349588.0,135.38,1.6900,0.4000
AMZN,2009-12-11,136.07,136.29,133.2,8051364.0,134.15,0.9200,1.0600
AMZN,2009-12-14,132.5,132.61,129.35,10022856.0,131.38,0.4300,1.2200
AMZN,2009-12-15,130.76,132.46,129.59,7434131.0,130.23,1.5600,0.2400
AMZN,2009-12-16,130.93,131.45,127.65,10261207.0,128.36,1.0300,1.1100
AMZN,2009-12-17,129.36,130.08,126.9,8482959.0,126.91,1.8300,0.3300
AMZN,2009-12-18,127.91,128.79,125.65,9605358.0,128.48,1.8300,0.1300
AMZN,2009-12-21,130.48,133.2,130.19,9480258.0,132.79,1.2000,0.5400
AMZN,2009-12-22,133.76,135.99,132.65,8257493.0,133.75,0.0000,2.0000
AMZN,2009-12-23,134.8,139.05,134.35,9550603.0,138.94,1.2000,0.3800
AMZN,2009-12-24,139.2,139.7,137.54,5128777.0,138.47,0.6300,1.2800
AMZN,2009-12-28,139.75,141.98,138.53,8769639.0,139.31,1.1000,0.2300
AMZN,2009-12-29,141.29,142.58,138.55,8405872.0,139.41,0.0000,2.0300
AMZN,2009-12-30,138.4,138.4,135.28,6917416.0,136.49,0.0000,2.5000
AMZN,2009-12-31,137.09,137.28,134.52,4524192.0,134.52,1.2200,0.0000
AMZN,2010-01-04,136.25,136.61,133.14,7600543.0,133.9,1.4200,0.6000
AMZN,2010-01-05,133.43,135.48,131.81,8856456.0,134.69,1.3400,0.5900
AMZN,2010-01-06,134.6,134.73,131.65,7180977.0,132.25,1.0600,0.4300
AMZN,2010-01-07,132.01,132.32,128.8,11030124.0,130.0,1.0900,0.6900
AMZN,2010-01-08,130.56,133.68,129.03,9833829.0,133.52,1.8900,0.3500
AMZN,2010-01-11,132.62,132.8,129.21,8786668.0,130.31,1.7400,0.0000
AMZN,2010-01-12,128.99,129.82,126.55,9098190.0,127.35,2.2000,0.0000
AMZN,2010-01-13,127.9,129.71,125.75,10727856.0,129.11,2.2500,0.0000
AMZN,2010-01-14,129.14,130.38,126.4,9788435.0,127.35,0.3700,1.2200
AMZN,2010-01-15,129.18,129.65,127.06,15382763.0,127.14,0.6000,1.4000
AMZN,2010-01-19,126.2,128.0,124.33,8900116.0,127.61,2.5100,0.0000
AMZN,2010-01-20,127.13,129.2,125.08,9081533.0,125.78,1.7000,0.0000
AMZN,2010-01-21,127.26,128.15,125.0,9976146.0,126.62,0.8800,0.8600
AMZN,2010-01-22,125.6,127.67,120.76,11577818.0,121.43,0.3000,1.0900
AMZN,2010-01-25,122.1,122.28,118.12,12031053.0,120.31,0.4700,0.7600
AMZN,2010-01-26,120.56,122.98,119.06,9567607.0,119.48,0.3300,1.5500
AMZN,2010-01-27,121.03,123.33,118.8,14765273.0,122.75,0.2700,1.6000
AMZN,2010-01-28,124.43,127.2,122.8,27293062.0,126.03,1.1500,0.5900
AMZN,2010-01-29,129.77,131.85,124.14,29478976.0,125.41,0.9300,0.9000
AMZN,2010-02-01,123.18,124.86,113.82,37774317.0,118.87,0.7000,1.0400
AMZN,2010-02-02,118.79,118.98,114.4,23084986.0,118.12,0.9000,0.8400
AMZN,2010-02-03,117.12,119.61,116.56,12409012.0,119.1,1.2300,0.0000
AMZN,2010-02-04,118.64,120.33,115.74,12783912.0,115.94,0.9500,0.0000
AMZN,2010-02-05,115.88,117.65,114.1,11027086.0,117.39,0.0000,1.8600
AMZN,2010-02-08,119.38,121.0,116.56,9898391.0,116.83,1.3700,0.0000
AMZN,2010-02-09,118.2,119.09,117.0,9227158.0,118.03,0.0000,1.7900
AMZN,2010-02-11,117.21,120.42,116.5,8344469.0,120.09,0.5800,1.5100
AMZN,2010-02-12,118.99,119.94,117.5,8075533.0,119.66,2.1100,0.0000
AMZN,2010-02-16,120.06,120.5,117.18,8938494.0,117.53,1.1700,0.0400
AMZN,2010-02-17,117.08,117.13,115.55,8947449.0,116.31,0.4900,1.7600
AMZN,2010-02-18,115.84,118.51,114.82,9807497.0,118.08,1.0500,1.0300
AMZN,2010-02-19,117.91,119.09,117.0,7117494.0,117.52,1.1800,0.7100
AMZN,2010-02-22,117.37,118.97,116.18,6809386.0,118.01,1.5400,0.5600
AMZN,2010-02-23,118.01,119.25,116.51,7069011.0,117.24,0.6800,1.3200
AMZN,2010-02-24,117.96,119.8,117.15,7393039.0,119.72,0.6600,0.8100
