Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
CSCO,2009-10-12,24.07,24.22,23.62,32801618.0,23.78,2.8400,0.0000
CSCO,2009-10-13,23.58,24.13,23.57,45600471.0,23.89,2.3400,0.0000
CSCO,2009-10-15,24.25,24.37,24.06,35860662.0,24.37,2.5000,0.0000
CSCO,2009-11-04,23.31,23.43,23.0,65580804.0,23.29,1.8200,0.5800
CSCO,2009-11-05,24.05,24.07,23.62,87742264.0,23.93,1.6300,0.0000
CSCO,2009-12-08,24.02,24.21,23.75,44130071.0,23.81,0.0300,0.0000
CSCO,2009-12-10,24.0,24.2,23.81,33704770.0,23.94,2.4300,0.0000
CSCO,2010-01-04,24.11,24.84,24.01,59859189.0,24.69,1.6100,0.3100
CSCO,2010-01-05,24.6,24.73,24.38,45128409.0,24.58,0.9300,0.0000
CSCO,2010-01-06,24.54,24.74,24.34,35716784.0,24.42,2.4400,0.0000
CSCO,2010-01-07,24.3,24.57,24.17,31540614.0,24.53,1.8500,0.0000
CSCO,2010-01-08,24.38,24.7,24.25,39115841.0,24.66,1.7600,0.0000
CSCO,2010-01-14,24.58,25.08,24.52,52307589.0,24.95,2.4200,0.0000
CSCO,2010-01-29,22.95,23.13,22.44,73431860.0,22.47,2.0500,0.0000
CSCO,2010-02-01,22.65,22.94,22.38,54386091.0,22.73,0.7300,0.7500
CSCO,2010-02-02,22.81,23.11,22.51,54108901.0,23.02,0.0000,0.5900
CSCO,2010-02-03,23.16,23.25,22.85,80035486.0,23.07,0.9400,0.8900
CSCO,2010-02-04,23.41,23.77,23.1,126098577.0,23.16,0.9000,0.8700
CSCO,2010-02-05,23.3,23.88,23.16,99148510.0,23.7,0.0000,0.4400
CSCO,2010-02-10,23.86,24.0,23.62,50574101.0,23.76,1.2200,0.1400
CSCO,2010-02-18,24.05,24.36,23.9,41154603.0,24.28,0.3300,0.0000
CSCO,2010-03-05,24.97,25.24,24.92,57060394.0,25.21,1.8300,0.0000
CSCO,2010-03-08,25.31,26.36,25.26,116178158.0,26.13,1.0000,0.9900
CSCO,2010-03-09,26.33,26.48,25.7,160887564.0,26.13,0.9300,1.1600
CSCO,2010-03-10,25.85,26.06,25.75,69660735.0,25.87,2.5600,0.0000
CSCO,2010-03-11,25.79,25.98,25.72,37340472.0,25.97,1.6500,0.0000
CSCO,2010-03-15,25.76,26.09,25.74,36768501.0,26.08,2.4700,0.0000
CSCO,2010-03-16,26.03,26.34,26.01,53894258.0,26.15,0.7400,0.1200
CSCO,2010-03-18,26.24,26.42,26.22,27087994.0,26.34,0.0000,1.5300
CSCO,2010-03-19,26.37,26.44,26.07,55661784.0,26.15,0.0000,0.5200
CSCO,2010-03-22,25.92,26.38,25.89,31906705.0,26.28,1.0000,0.3700
CSCO,2010-03-23,26.19,26.75,26.17,48863070.0,26.64,0.0000,0.7300
CSCO,2010-03-24,26.56,26.62,26.44,35299217.0,26.45,0.0000,1.2600
CSCO,2010-03-25,26.66,26.85,26.42,35142599.0,26.43,0.0000,1.1700
CSCO,2010-03-26,26.44,26.75,26.34,37528221.0,26.47,0.0000,1.3600
CSCO,2010-03-29,26.61,26.69,26.45,30388646.0,26.51,1.1000,0.7100
CSCO,2010-04-01,26.2,26.3,25.66,56196585.0,25.83,2.4700,0.0000
CSCO,2010-04-06,26.13,26.38,26.05,31124212.0,26.22,2.1600,0.0000
CSCO,2010-04-13,26.45,26.5,26.17,42863803.0,26.44,2.2200,0.0000
CSCO,2010-04-15,27.0,27.25,26.95,47016475.0,27.21,2.5600,0.0000
CSCO,2010-04-16,27.15,27.44,26.79,68529424.0,26.98,1.2500,0.9500
CSCO,2010-04-19,26.93,27.11,26.55,43890768.0,27.07,0.0700,0.8600
CSCO,2010-04-20,27.19,27.45,27.06,47169807.0,27.18,2.6300,0.0000
CSCO,2010-04-23,27.38,27.51,27.21,39306783.0,27.47,1.5500,0.5000
CSCO,2010-04-30,27.68,27.74,26.92,41896141.0,26.93,1.8700,0.0000
CSCO,2010-05-03,27.03,27.69,27.01,44976901.0,27.54,0.7100,0.0000
CSCO,2010-05-07,25.52,25.64,24.33,95894494.0,24.71,2.5300,0.0000
CSCO,2010-05-10,26.12,26.53,25.9,74912109.0,26.13,2.6300,0.0000
CSCO,2010-05-12,26.22,26.8,26.19,66161698.0,26.74,1.3000,0.5400
CSCO,2010-05-13,26.09,26.1,25.37,143656254.0,25.53,0.9300,0.0000
CSCO,2010-05-14,25.26,25.3,24.69,82159544.0,24.94,1.0500,0.8400
CSCO,2010-05-18,25.0,25.02,24.18,59688862.0,24.36,1.9900,0.0000
CSCO,2010-05-19,24.23,24.52,23.97,62398375.0,24.26,0.0000,1.7800
CSCO,2010-05-20,23.56,23.89,23.13,97381316.0,23.31,0.0000,0.8000
CSCO,2010-05-21,22.67,23.51,22.56,88187275.0,23.46,1.6000,0.8100
CSCO,2010-05-25,22.73,23.31,22.6,64858977.0,23.31,2.1000,0.0000
CSCO,2010-05-27,23.39,23.68,23.02,59790326.0,23.67,0.0000,2.3300
CSCO,2010-05-31,,,,0.0,23.16,0.0000,0.6500
CSCO,2010-06-01,22.94,23.48,22.92,56347864.0,23.0,0.7800,0.0000
CSCO,2010-06-09,23.02,23.45,22.74,47727653.0,22.78,1.8500,0.0000
CSCO,2010-06-10,23.0,23.1,22.51,98936096.0,22.77,2.5000,0.0000
CSCO,2010-06-11,22.53,22.99,22.52,56325401.0,22.91,0.0000,1.2900
CSCO,2010-06-14,23.08,23.28,22.73,57279195.0,22.76,1.8500,0.0000
CSCO,2010-06-18,23.28,23.65,23.15,52422473.0,23.49,0.0000,1.7000
CSCO,2010-06-21,23.84,23.94,23.12,54836676.0,23.34,0.0000,2.2200
CSCO,2010-06-25,22.59,22.67,22.11,76908892.0,22.18,0.0000,0.9500
CSCO,2010-06-28,22.3,22.75,22.29,43405084.0,22.42,0.3800,1.8900
CSCO,2010-06-29,22.15,22.19,21.4,68955137.0,21.62,1.8400,0.0000
CSCO,2010-06-30,21.52,21.73,21.24,57127979.0,21.31,0.0000,1.7000
CSCO,2010-07-14,23.43,23.89,23.39,61469602.0,23.74,0.0000,0.0500
CSCO,2010-07-16,23.87,23.87,22.61,77068973.0,22.75,2.3000,0.0000
CSCO,2010-07-22,22.73,23.36,22.73,57954474.0,23.27,1.3500,0.9200
CSCO,2010-07-26,23.32,23.61,23.2,38334855.0,23.61,1.4000,0.0000
CSCO,2010-07-27,23.68,23.72,23.2,47987843.0,23.3,1.6000,0.0000
CSCO,2010-08-03,23.84,23.89,23.62,27135880.0,23.82,2.7300,0.0000
CSCO,2010-08-04,23.79,24.25,23.78,48335001.0,24.14,1.0100,0.0500
CSCO,2010-08-09,24.21,24.87,24.2,64011003.0,24.77,2.5400,0.0000
CSCO,2010-08-11,23.86,23.95,23.45,71535679.0,23.73,1.2500,0.6800
CSCO,2010-08-12,21.42,21.61,21.0,227308153.0,21.36,0.6200,1.2500
CSCO,2010-08-13,21.51,21.58,21.25,67924079.0,21.36,0.7500,0.6300
CSCO,2010-08-16,21.24,22.12,21.22,88628302.0,21.91,1.9200,0.0000
CSCO,2010-08-17,22.07,22.29,21.95,82948625.0,22.05,0.0000,1.6100
CSCO,2010-08-18,22.04,22.51,22.02,73169165.0,22.41,0.4000,1.1100
CSCO,2010-08-20,22.19,22.41,22.13,54662666.0,22.23,0.0000,2.4100
CSCO,2010-08-25,20.99,21.35,20.82,54310986.0,21.21,0.0000,1.2600
CSCO,2010-08-27,20.84,20.94,20.36,62258927.0,20.81,0.0000,2.8600
CSCO,2010-08-30,20.8,20.89,20.29,58982939.0,20.32,0.0000,1.7600
CSCO,2010-08-31,20.11,20.37,19.82,94449389.0,19.98,0.1900,1.2300
CSCO,2010-09-02,20.48,20.7,20.31,59438997.0,20.52,2.2600,0.0000
CSCO,2010-09-03,20.97,21.13,20.76,54485164.0,21.04,0.0000,1.7000
CSCO,2010-09-13,20.92,21.34,20.86,62445813.0,21.26,0.0000,0.1000
CSCO,2010-09-14,21.36,22.17,21.21,109222307.0,21.45,1.7000,0.4700
CSCO,2010-09-20,21.97,21.99,21.64,55744883.0,21.75,1.7600,0.3700
CSCO,2010-09-21,21.78,21.96,21.37,69776145.0,21.64,2.2000,0.0000
CSCO,2010-09-22,21.67,21.89,21.4,49272150.0,21.67,2.1100,0.0000
CSCO,2010-09-24,21.84,22.25,21.75,54235014.0,22.09,1.2500,0.0000
CSCO,2010-09-27,22.01,22.31,21.86,48671792.0,22.11,2.5700,0.0000
CSCO,2010-09-28,22.0,22.11,21.45,64748304.0,21.86,2.2600,0.0000
CSCO,2010-09-29,21.63,21.91,21.56,46307240.0,21.87,2.1000,0.0000
CSCO,2010-10-04,21.81,22.0,21.5,31731136.0,21.76,1.4500,0.0000
CSCO,2010-10-06,22.03,22.4,22.01,52793004.0,22.3,0.5400,0.8200
CSCO,2010-10-07,22.47,22.5,22.11,37864547.0,22.39,2.3800,0.0000
CSCO,2010-10-08,22.37,22.52,22.09,37806362.0,22.48,2.2000,0.0000
CSCO,2010-10-11,22.48,22.65,22.38,28434493.0,22.47,0.0000,1.4800
CSCO,2010-10-12,22.38,22.75,22.27,35299050.0,22.62,1.4600,0.0000
CSCO,2010-10-13,22.93,23.4,22.83,66127091.0,23.18,2.0200,0.0000
CSCO,2010-10-14,23.26,23.3,22.85,38847138.0,23.07,2.0900,0.0000
CSCO,2010-10-15,23.24,23.4,23.0,50265795.0,23.36,1.8700,0.0400
CSCO,2010-10-18,23.35,23.5,23.23,40615236.0,23.3,1.4200,0.2800
CSCO,2010-10-20,22.91,23.58,22.91,44947212.0,23.4,1.7100,0.0000
CSCO,2010-10-21,23.48,23.54,22.98,38537219.0,23.26,2.2200,0.0000
CSCO,2010-10-25,23.63,23.9,23.57,37085774.0,23.61,0.0000,0.6000
CSCO,2010-10-26,23.49,23.75,23.36,37679966.0,23.4,2.3100,0.0000
CSCO,2010-10-27,23.25,23.36,23.03,39164377.0,23.29,2.5000,0.0000
CSCO,2010-11-02,23.17,23.3,23.06,37381022.0,23.17,0.0000,1.8800
CSCO,2010-11-03,23.29,23.74,23.18,53861120.0,23.71,1.4200,0.2000
CSCO,2010-11-04,23.92,24.34,23.89,55897795.0,24.21,2.1300,0.0000
CSCO,2010-11-05,24.26,24.34,23.88,41012289.0,24.26,1.5500,0.6300
CSCO,2010-11-08,24.35,24.58,24.28,40378093.0,24.39,2.1800,0.0000
CSCO,2010-11-09,24.49,24.6,24.18,51216109.0,24.35,3.0000,0.0000
CSCO,2010-11-10,24.29,24.51,23.99,115576157.0,24.49,1.1000,0.9300
CSCO,2010-11-11,20.46,20.96,20.25,553078278.0,20.52,1.1600,0.7900
CSCO,2010-11-12,20.62,20.67,20.03,234765374.0,20.15,0.8000,0.7800
CSCO,2010-11-15,20.37,20.37,19.92,137860795.0,19.95,1.1800,0.4000
CSCO,2010-11-16,19.88,19.94,19.34,212576442.0,19.44,0.6700,0.4600
CSCO,2010-11-17,19.62,19.68,19.39,112435922.0,19.4,0.8500,0.8400
CSCO,2010-11-18,19.73,19.8,19.53,102255826.0,19.61,1.0600,0.7800
CSCO,2010-11-19,19.83,19.84,19.5,100759489.0,19.61,2.2000,0.0000
CSCO,2010-11-24,19.33,19.55,19.32,63907917.0,19.46,2.2100,0.0000
CSCO,2010-11-26,19.49,19.72,19.41,26258169.0,19.49,2.1100,0.0000
CSCO,2010-11-30,19.24,19.35,19.13,63406657.0,19.16,1.0500,0.9500
CSCO,2010-12-02,19.36,19.4,19.12,113701390.0,19.22,0.9200,0.9500
CSCO,2010-12-03,19.16,19.17,19.0,89384937.0,19.07,1.7800,0.0000
CSCO,2010-12-06,19.31,19.6,19.27,79017386.0,19.43,1.4100,0.7300
CSCO,2010-12-07,19.7,19.7,19.36,74980252.0,19.39,0.0000,0.2900
CSCO,2010-12-08,19.37,19.45,19.31,53976865.0,19.35,1.1700,1.0200
CSCO,2010-12-09,19.49,19.82,19.39,91965368.0,19.7,1.8400,0.2200
CSCO,2010-12-10,19.75,19.76,19.51,64813048.0,19.7,1.7800,0.1800
CSCO,2010-12-13,19.85,19.92,19.56,62987119.0,19.58,1.0000,0.0000
CSCO,2010-12-14,19.65,19.87,19.52,57054594.0,19.54,1.6300,0.0000
CSCO,2010-12-15,19.58,19.67,19.43,57939296.0,19.47,2.7100,0.0000
CSCO,2010-12-16,19.44,19.76,19.43,61252967.0,19.75,0.0000,0.7800
CSCO,2010-12-17,19.7,19.78,19.5,115524969.0,19.55,1.8000,0.0000
CSCO,2010-12-20,19.58,19.72,19.52,49113499.0,19.62,0.0000,0.9000
CSCO,2010-12-21,19.64,19.77,19.5,62386087.0,19.53,2.2700,0.0000
CSCO,2010-12-22,19.54,19.57,19.51,42787073.0,19.56,0.6200,0.0000
CSCO,2010-12-23,19.54,19.76,19.5,41614144.0,19.69,1.6700,0.0000
CSCO,2010-12-27,19.84,20.4,19.81,62054576.0,20.16,1.3600,0.2800
CSCO,2010-12-28,20.37,20.51,20.28,57275349.0,20.35,1.4400,0.4600
CSCO,2010-12-29,20.49,20.51,20.25,32976811.0,20.25,0.0000,1.0000
CSCO,2011-01-03,20.45,20.62,20.38,54310117.0,20.49,1.6500,0.0000
CSCO,2011-01-04,20.51,20.6,20.4,46273788.0,20.52,0.9500,0.2700
CSCO,2011-01-05,20.58,20.85,20.53,69378545.0,20.77,0.5700,0.6100
CSCO,2011-01-06,20.91,20.96,20.76,65845317.0,20.95,0.0000,0.7800
CSCO,2011-01-07,20.86,21.0,20.83,67738111.0,20.97,1.1100,0.0000
CSCO,2011-01-10,20.94,20.95,20.7,40679682.0,20.79,0.7700,0.0000
CSCO,2011-01-11,20.9,20.96,20.79,38352360.0,20.88,2.1100,0.0000
CSCO,2011-01-12,21.0,21.14,20.96,40646018.0,21.12,1.8400,0.7500
CSCO,2011-01-13,21.18,21.23,21.01,35030203.0,21.08,1.1000,0.9400
CSCO,2011-01-14,21.13,21.24,21.06,35176357.0,21.21,1.0800,0.0000
CSCO,2011-01-18,21.22,21.33,21.21,46668310.0,21.22,1.4900,0.0000
CSCO,2011-01-19,21.32,21.33,20.7,53574597.0,20.82,2.4400,0.0000
CSCO,2011-01-20,20.61,20.91,20.5,53291633.0,20.77,0.0000,1.6800
CSCO,2011-01-21,20.97,20.98,20.68,40172323.0,20.72,0.0000,2.5300
CSCO,2011-01-25,21.16,21.57,21.08,72726380.0,21.54,1.6400,0.6700
CSCO,2011-01-26,21.48,21.61,21.26,65524948.0,21.42,0.8800,0.0000
CSCO,2011-01-27,21.37,21.49,21.26,36827190.0,21.44,0.3000,0.0500
CSCO,2011-01-28,21.49,21.57,20.86,46540420.0,20.93,0.9400,0.0000
CSCO,2011-02-01,21.27,21.56,21.26,40519766.0,21.47,0.0000,2.3700
CSCO,2011-02-02,21.52,21.69,21.42,41287380.0,21.62,1.4900,0.0000
CSCO,2011-02-03,21.7,21.97,21.65,54001956.0,21.91,2.6400,0.0000
CSCO,2011-02-04,21.9,22.15,21.81,60134728.0,22.05,1.0000,1.1500
CSCO,2011-02-07,22.11,22.34,22.03,52408390.0,22.03,0.8500,0.4700
CSCO,2011-02-08,21.95,22.01,21.71,73162835.0,21.99,1.1200,0.4500
CSCO,2011-02-09,21.92,22.15,21.9,125425536.0,22.04,1.0700,0.7600
CSCO,2011-02-10,19.65,19.7,18.79,560038939.0,18.92,1.1800,0.7000
CSCO,2011-02-11,19.11,19.14,18.61,189326315.0,18.7,0.5600,0.8900
CSCO,2011-02-14,18.84,18.95,18.68,109308307.0,18.81,0.4300,0.7400
CSCO,2011-02-15,18.89,18.92,18.63,90320436.0,18.67,1.1200,0.7200
CSCO,2011-02-16,18.77,18.79,18.56,101531791.0,18.58,0.0000,1.9100
CSCO,2011-02-17,18.63,18.76,18.58,89097589.0,18.68,0.6400,0.0600
CSCO,2011-02-18,18.74,19.02,18.68,90035781.0,18.85,1.6000,0.2700
