Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
EBAY,2009-09-01,22.14,23.18,21.51,38208253.0,21.68,0.0000,2.1400
EBAY,2009-09-02,21.76,21.81,21.27,18993063.0,21.35,2.0700,0.0000
EBAY,2009-09-08,22.01,22.1,21.62,12511744.0,21.83,0.0000,1.9100
EBAY,2009-09-17,24.05,24.62,24.01,17190435.0,24.43,2.2200,0.0000
EBAY,2009-09-23,24.37,24.57,23.75,12930770.0,23.81,1.9000,0.0000
EBAY,2009-10-07,23.9,24.37,23.7,16444139.0,24.35,0.9500,0.2000
EBAY,2009-10-08,24.57,25.14,24.55,25344425.0,24.81,2.1700,0.0000
EBAY,2009-10-20,25.22,25.29,24.72,14690340.0,25.06,0.0400,0.0000
EBAY,2009-10-21,25.45,25.8,24.92,40945453.0,25.03,0.8500,0.8000
EBAY,2009-11-06,23.15,23.5,22.95,8996383.0,23.34,0.0000,1.7600
EBAY,2009-11-09,23.38,23.5,23.14,14474788.0,23.27,0.9000,1.1700
EBAY,2009-11-20,23.08,23.15,22.75,16750378.0,22.79,2.0600,0.0000
EBAY,2009-11-24,23.51,23.73,23.19,11004752.0,23.59,2.1100,0.0000
EBAY,2009-11-30,23.21,24.54,23.2,23509911.0,24.47,2.1100,0.0000
EBAY,2009-12-16,22.61,23.0,22.6,13519937.0,22.89,1.3100,0.0000
EBAY,2009-12-17,22.7,22.96,22.55,12791492.0,22.79,2.1500,0.0000
EBAY,2010-01-05,23.79,23.9,23.5,11230229.0,23.65,0.0000,1.7000
EBAY,2010-01-20,23.19,23.19,22.18,38817509.0,22.23,1.0400,0.8500
EBAY,2010-01-27,23.81,24.25,23.63,20810220.0,23.97,1.1000,0.9800
EBAY,2010-01-29,23.45,24.0,22.87,22583587.0,23.02,3.5600,0.0000
EBAY,2010-02-16,21.99,22.53,21.99,14495914.0,22.52,0.0000,3.1100
EBAY,2010-03-03,23.58,23.94,23.35,14812330.0,23.51,2.7900,0.0000
EBAY,2010-03-19,27.65,27.78,27.04,21613846.0,27.19,1.5000,0.0000
EBAY,2010-03-25,27.7,28.37,27.54,32268392.0,27.56,1.8200,0.4700
