Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
EMC,2009-10-22,17.33,17.43,16.82,38962041.0,17.33,0.0000,2.4500
EMC,2009-11-11,17.2,17.31,16.95,20008145.0,16.99,0.0000,2.6000
EMC,2009-12-09,16.71,16.91,16.55,17715414.0,16.89,0.0000,2.8200
EMC,2009-12-10,16.87,16.96,16.51,23330734.0,16.58,0.0000,0.9800
EMC,2009-12-21,17.37,17.7,17.36,28843067.0,17.47,1.9500,0.0000
EMC,2010-01-26,17.5,17.79,17.06,64876801.0,17.61,2.4200,0.0000
EMC,2010-03-08,17.9,18.46,17.87,42152404.0,18.42,2.1600,0.0000
EMC,2010-03-09,18.36,18.73,18.28,30508423.0,18.54,2.5600,0.0000
EMC,2010-03-10,18.55,18.92,18.5,23986302.0,18.72,1.9700,0.0000
EMC,2010-03-11,18.59,18.81,18.54,16630134.0,18.8,1.4000,0.0000
EMC,2010-03-15,18.76,18.86,18.65,18127053.0,18.82,2.4700,0.0000
EMC,2010-03-16,18.8,18.82,18.69,18249038.0,18.78,0.0800,0.1800
EMC,2010-03-18,18.61,18.8,18.56,17704407.0,18.64,1.0800,1.3700
EMC,2010-03-19,18.71,18.83,18.5,20158646.0,18.61,0.9900,0.2600
EMC,2010-03-22,18.4,18.88,18.38,16530992.0,18.83,0.0000,0.7300
EMC,2010-03-23,18.74,18.98,18.54,28023996.0,18.94,0.0000,0.7300
EMC,2010-03-24,18.84,18.98,18.72,18005481.0,18.82,0.0000,1.2600
EMC,2010-03-25,18.97,19.04,18.72,18714541.0,18.73,0.0000,1.6400
EMC,2010-03-26,18.76,18.89,18.48,17411465.0,18.56,0.0000,1.3600
EMC,2010-03-29,18.6,18.69,17.87,44224948.0,18.06,0.0000,1.4200
EMC,2010-04-01,18.18,18.35,17.99,17024206.0,18.18,2.4700,0.0000
EMC,2010-04-12,18.71,19.26,18.68,38654886.0,19.17,2.5000,0.0000
EMC,2010-04-13,19.11,19.17,18.92,23231054.0,19.02,2.4200,0.0000
EMC,2010-04-21,19.85,19.95,19.53,37637617.0,19.85,0.0000,2.2200
EMC,2010-04-22,19.62,19.88,19.51,23098858.0,19.84,1.9300,0.0000
EMC,2010-04-26,19.9,20.0,19.9,14686674.0,19.98,1.9000,0.0000
EMC,2010-05-10,18.69,18.93,18.58,32971379.0,18.76,0.0000,3.0000
EMC,2010-05-24,18.02,18.34,17.92,26341811.0,18.06,0.0000,2.0000
