Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
FB,2009-09-04,167.28,170.7,167.09,13379522.0,170.31,2.1800,0.0000
FB,2009-09-17,181.98,186.79,181.97,28948952.0,184.55,0.1100,0.0000
FB,2009-11-18,206.54,207.0,204.0,13368552.0,205.96,0.0000,0.0000
FB,2010-02-10,195.89,196.6,194.26,13227174.0,195.12,0.4500,0.0000
FB,2010-03-09,218.31,225.0,217.89,32866380.0,223.02,2.1000,0.0000
FB,2010-04-15,245.78,249.03,245.51,13456560.0,248.92,0.0000,2.0500
FB,2010-04-22,258.24,266.75,256.2,28336545.0,266.47,1.6600,0.0000
FB,2010-04-23,267.99,272.18,267.0,28462622.0,270.83,0.0000,0.2000
FB,2010-04-30,269.31,270.57,261.0,19373668.0,261.09,1.8700,0.0000
FB,2010-05-19,249.5,252.92,244.85,36633058.0,248.34,0.0000,2.8100
FB,2010-05-28,259.39,259.4,253.35,29129031.0,256.88,2.1100,0.0000
FB,2010-06-09,251.47,251.9,242.49,30522453.0,243.2,0.0000,2.2200
FB,2010-06-15,255.64,259.85,255.5,20895471.0,259.69,2.2800,0.0000
FB,2010-06-29,264.12,264.39,254.3,40476590.0,256.17,0.7700,0.0000
FB,2010-08-19,252.84,253.48,248.68,15239461.0,249.88,1.1400,0.0000
FB,2010-09-01,247.47,251.46,246.28,24894115.0,250.33,0.0000,1.2200
FB,2010-09-27,293.98,294.73,291.01,17253559.0,291.16,1.8000,0.0000
FB,2010-09-29,287.23,289.81,286.0,16772944.0,287.37,1.0600,0.0000
FB,2010-10-06,289.59,291.99,285.26,23959502.0,289.19,0.0000,2.9000
FB,2010-10-11,294.74,297.24,294.6,15276819.0,295.36,1.2000,0.0000
FB,2010-10-13,300.2,301.96,299.8,22503227.0,300.14,2.0800,0.0000
FB,2010-10-19,303.4,313.77,300.02,44027119.0,309.49,2.4700,0.0000
FB,2010-10-25,309.09,311.6,308.44,14015428.0,308.84,2.3800,0.0000
FB,2010-10-26,306.87,309.74,305.65,14033191.0,308.05,2.1500,0.0000
FB,2010-11-08,317.2,319.77,316.76,10061901.0,318.62,1.1000,0.0000
FB,2010-11-10,316.64,318.77,313.55,13722339.0,318.03,2.2200,0.0000
FB,2010-11-15,308.46,310.54,306.27,14414422.0,307.04,0.0000,2.1400
FB,2010-11-19,307.97,308.4,305.24,13744399.0,306.73,2.1700,0.0000
FB,2010-12-03,317.01,318.65,316.34,12227469.0,317.44,0.0000,2.4400
FB,2010-12-16,321.09,322.61,320.1,11501014.0,321.25,0.8100,0.0000
FB,2011-01-03,325.64,330.26,324.84,15897201.0,329.57,1.9800,0.3800
FB,2011-01-04,332.44,332.5,328.15,11048143.0,331.29,2.0000,0.0000
FB,2011-01-05,329.55,334.34,329.5,9125599.0,334.0,0.6100,0.7800
FB,2011-01-06,334.72,335.25,332.9,10729518.0,333.73,0.0000,2.0000
FB,2011-01-26,342.96,345.6,341.5,18102397.0,343.85,1.4000,0.0000
FB,2011-01-27,343.78,344.69,342.83,10179423.0,343.21,1.4000,0.0000
FB,2011-01-28,344.17,344.4,333.53,21144878.0,336.1,0.0000,2.1800
FB,2011-02-01,341.3,345.65,340.98,15236849.0,345.03,2.0800,0.0000
FB,2011-02-10,357.39,360.0,348.0,33162480.0,354.54,2.0300,0.0000
FB,2011-02-11,354.75,357.8,353.54,13127564.0,356.85,0.0000,2.5000
FB,2011-02-14,356.79,359.48,356.71,11086213.0,359.18,1.4400,0.0000
FB,2011-02-15,359.19,359.97,357.55,10149063.0,359.9,2.3600,0.0000
FB,2011-03-03,357.19,359.79,355.92,17885252.0,359.56,2.1200,0.0000
FB,2011-03-07,361.4,361.67,351.31,19504307.0,355.36,0.0000,0.1000
FB,2011-03-08,354.91,357.4,352.25,12725565.0,355.76,0.2200,1.5300
FB,2011-03-09,354.69,354.76,350.6,16192719.0,352.47,0.0000,0.7700
FB,2011-03-24,341.85,346.0,338.86,14453960.0,344.97,2.6000,0.0000
FB,2011-03-28,353.15,354.32,350.44,11048201.0,350.44,0.0000,1.5100
FB,2011-03-31,346.36,349.8,346.06,9798858.0,348.51,1.8400,0.0000
FB,2011-04-11,334.06,335.67,330.02,14255374.0,330.8,2.3300,0.0000
FB,2011-04-12,330.49,333.73,330.2,15232440.0,332.4,2.3300,0.0000
FB,2011-04-13,335.02,336.14,332.52,12372709.0,336.13,0.6400,0.0000
FB,2011-04-19,333.1,337.98,331.71,14977749.0,337.86,0.8200,0.9100
FB,2011-04-21,355.0,355.13,348.52,26921374.0,350.7,1.4000,0.0000
FB,2011-04-26,353.62,354.99,349.35,12057235.0,350.42,0.0000,2.3000
FB,2011-04-27,352.24,352.35,347.1,12721841.0,350.15,2.0300,0.0000
FB,2011-05-02,349.74,350.47,345.5,15811178.0,346.28,0.9800,0.0000
FB,2011-05-04,348.26,351.83,346.88,13901747.0,349.57,0.0000,2.0400
FB,2011-05-05,348.4,350.95,346.05,12009336.0,346.75,2.4500,0.0000
FB,2011-05-09,347.86,349.2,346.53,7312593.0,347.6,0.0000,0.0000
FB,2011-05-10,348.89,349.69,346.66,10074567.0,349.45,1.0200,0.7500
FB,2011-05-19,342.08,342.41,338.67,9327330.0,340.53,1.4700,0.0000
FB,2011-05-20,339.56,340.95,335.02,12078244.0,335.22,1.9000,0.0000
FB,2011-05-26,335.97,336.89,334.44,7953393.0,335.0,1.3900,0.2000
FB,2011-06-01,348.87,352.13,344.65,19810086.0,345.51,0.0200,1.2400
FB,2011-06-02,346.5,347.98,344.3,12103016.0,346.1,1.1500,0.0000
FB,2011-06-03,343.18,345.33,342.01,11194395.0,343.44,0.0000,0.1000
FB,2011-06-15,329.75,330.3,324.88,14264555.0,326.75,2.6700,0.0000
FB,2011-06-16,326.9,328.68,318.33,18235334.0,325.16,1.0300,1.7800
FB,2011-06-20,317.36,317.7,310.5,22880182.0,315.32,1.1500,1.4500
FB,2011-06-21,316.68,325.8,315.2,17620502.0,325.3,0.8000,0.0000
FB,2011-06-22,325.16,328.9,322.38,13949348.0,322.61,1.1700,0.0000
FB,2011-06-24,331.37,333.15,325.09,15711616.0,326.35,0.0000,1.7500
FB,2011-06-27,327.59,333.9,327.25,12141419.0,332.04,0.8200,0.6700
FB,2011-06-28,333.65,336.7,333.44,10510701.0,335.26,1.8000,0.0000
FB,2011-06-29,336.04,336.37,331.88,12597010.0,334.04,0.4000,0.0000
FB,2011-06-30,334.7,336.13,332.84,11543913.0,335.67,0.0000,0.0000
FB,2011-07-01,335.95,343.5,334.2,15546887.0,343.26,2.0000,0.5800
FB,2011-07-05,343.0,349.83,342.5,12688374.0,349.43,0.8900,0.0300
FB,2011-07-07,354.67,358.0,354.0,14273617.0,357.2,1.3700,0.0000
FB,2011-07-08,353.34,360.0,352.2,17497377.0,359.71,0.6800,0.0000
FB,2011-07-11,356.34,359.77,352.82,15816282.0,354.0,2.2000,0.0000
