Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
GOOG,2009-07-10,204.58,208.48,204.15,2929559.0,206.99,2.3000,0.0000
GOOG,2009-09-01,229.61,233.18,226.98,2595091.0,227.65,0.0000,0.0000
GOOG,2009-09-03,227.68,228.9,227.27,1646354.0,228.53,2.6000,0.0000
GOOG,2009-09-04,228.56,231.07,227.66,1499873.0,230.42,0.8800,0.0000
GOOG,2009-09-08,231.91,233.26,227.69,2656609.0,229.08,0.0000,1.7600
GOOG,2009-09-09,229.3,232.9,229.17,2195496.0,231.75,2.1100,0.0000
GOOG,2009-09-15,237.3,239.22,236.12,2398607.0,238.53,3.0000,0.0000
GOOG,2009-09-16,239.66,244.44,239.0,2587367.0,243.9,2.0600,0.0000
GOOG,2009-09-17,245.04,248.44,243.33,4483447.0,245.61,2.1100,0.0000
GOOG,2009-09-21,243.63,249.2,242.87,2117567.0,248.25,0.9300,0.0000
GOOG,2009-09-22,250.21,250.74,248.66,3041830.0,249.28,0.8600,0.6600
GOOG,2009-09-25,246.9,249.72,245.75,2052014.0,245.99,2.3300,0.0000
GOOG,2009-09-28,247.17,250.5,246.4,1843168.0,249.02,1.9700,0.0000
GOOG,2009-10-01,246.25,247.99,243.26,2816234.0,243.36,2.3300,0.0000
GOOG,2009-10-05,243.58,245.97,241.43,2144652.0,244.02,1.4500,0.0000
GOOG,2009-10-06,245.6,249.44,245.6,2732977.0,249.12,1.0000,0.0000
GOOG,2009-10-07,249.25,259.24,248.66,4877683.0,258.51,1.3000,0.6000
GOOG,2009-10-12,261.45,262.62,259.4,3324320.0,261.76,1.6900,0.5800
GOOG,2009-10-13,261.93,263.47,260.43,3042242.0,262.79,1.0400,0.3000
GOOG,2009-10-14,265.96,267.52,264.74,3265055.0,267.39,1.6000,0.4300
GOOG,2009-10-15,266.61,268.18,263.37,6100353.0,264.69,1.6500,0.2600
GOOG,2009-10-16,273.39,277.1,271.99,8845714.0,274.65,1.6800,0.3000
GOOG,2009-10-20,275.54,276.2,270.08,4044439.0,275.58,0.0000,2.7200
GOOG,2009-10-21,274.68,279.4,274.23,3673168.0,275.27,1.9200,0.7800
GOOG,2009-10-22,274.72,277.22,273.73,2337087.0,276.77,1.9600,0.0000
GOOG,2009-10-23,277.35,278.67,275.32,2393191.0,276.57,2.1000,0.0000
GOOG,2009-10-26,277.6,280.54,275.17,2973706.0,276.83,0.7300,1.5100
GOOG,2009-10-27,275.21,277.0,271.81,3218033.0,273.87,0.1700,1.1000
GOOG,2009-10-28,273.66,274.72,268.86,2568660.0,269.88,0.7800,1.3200
GOOG,2009-10-29,271.23,275.64,270.23,2518762.0,275.25,2.6800,0.0000
GOOG,2009-10-30,274.72,274.81,266.85,3469738.0,267.79,0.0000,2.3000
