Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
HPQ,2009-09-29,47.66,47.95,47.26,19650464.0,47.44,0.0000,1.7900
HPQ,2009-09-30,47.26,47.63,46.67,21394326.0,47.21,0.6000,0.0200
HPQ,2009-10-01,47.02,47.32,45.81,20121141.0,45.96,0.0000,0.4100
HPQ,2009-10-15,47.67,48.0,47.63,11924319.0,48.0,0.0000,0.8600
HPQ,2009-11-11,49.82,50.0,49.71,14234357.0,50.0,2.3900,0.0000
HPQ,2009-11-13,49.71,49.95,49.4,13858709.0,49.91,2.5900,0.0000
HPQ,2009-11-23,50.43,51.03,50.35,15775597.0,51.02,0.1800,1.1500
HPQ,2010-01-08,52.1,52.64,52.03,10240066.0,52.59,2.0000,0.0000
HPQ,2010-02-17,49.77,50.25,49.7,23481276.0,50.12,2.3400,0.4800
HPQ,2010-02-19,50.42,51.0,50.2,16661065.0,50.79,0.1100,0.0000
HPQ,2010-02-26,50.92,50.99,50.61,11018256.0,50.79,2.6500,0.0000
HPQ,2010-03-01,50.68,51.66,50.68,14151015.0,51.54,1.9500,0.0000
HPQ,2010-03-18,52.22,52.83,52.11,14130482.0,52.73,1.9500,0.0000
HPQ,2010-03-24,52.97,53.22,52.79,15121443.0,53.06,2.5000,0.0000
HPQ,2010-03-31,52.89,53.39,52.82,12855733.0,53.15,2.5000,0.0000
HPQ,2010-04-07,53.74,53.84,52.96,12077255.0,53.29,2.6000,0.0000
HPQ,2010-04-08,53.17,53.75,52.77,9007097.0,53.63,2.0000,0.0000
HPQ,2010-04-09,53.64,53.87,53.4,7485554.0,53.87,0.0000,2.6700
HPQ,2010-04-15,54.2,54.31,53.55,14140151.0,54.23,2.1000,0.0000
HPQ,2010-04-16,54.05,54.75,53.53,15628514.0,53.75,2.0700,0.0000
HPQ,2010-04-21,53.38,54.03,53.25,11586498.0,53.7,0.0000,2.0000
HPQ,2010-04-22,53.32,53.52,52.51,12391930.0,53.31,0.0000,2.8000
HPQ,2010-04-26,53.93,54.6,53.82,12098248.0,54.26,2.1700,0.0000
HPQ,2010-04-28,53.11,53.54,53.1,16103260.0,53.28,1.4400,0.1700
HPQ,2010-04-29,52.61,53.0,52.55,19525586.0,52.88,1.9700,0.0000
HPQ,2010-04-30,53.0,53.38,51.92,15732194.0,51.97,1.5600,0.0000
HPQ,2010-05-04,52.2,52.25,50.3,19988504.0,50.64,0.0000,0.8000
HPQ,2010-05-06,50.53,51.99,41.94,37937189.0,48.33,2.0400,0.0000
HPQ,2010-05-07,48.1,48.3,45.61,38633071.0,46.73,0.0000,1.6700
HPQ,2010-05-11,48.58,49.47,48.22,17319154.0,48.42,0.4500,0.8300
HPQ,2010-05-17,47.45,47.69,46.64,16969077.0,47.52,1.2200,0.0000
HPQ,2010-05-18,48.25,48.28,46.66,21439309.0,46.79,1.1300,0.0000
HPQ,2010-05-19,47.91,48.15,46.34,32335770.0,47.0,0.0000,0.9600
HPQ,2010-05-25,44.54,45.9,44.17,22718487.0,45.85,0.0000,2.3000
HPQ,2010-06-15,47.11,48.07,47.02,15805327.0,47.98,0.0000,2.8000
HPQ,2010-06-18,48.25,48.62,47.94,18864046.0,47.98,0.0000,1.7000
HPQ,2010-06-29,45.35,45.68,44.02,22156077.0,44.3,0.0000,2.2400
HPQ,2010-06-30,44.23,44.23,43.13,23707100.0,43.28,0.0000,2.1000
