Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
INTC,2009-09-04,19.43,19.69,19.28,47277724.0,19.64,2.1000,0.0000
INTC,2009-09-23,19.63,20.24,19.6,72143144.0,19.88,2.3300,0.0000
INTC,2009-09-29,19.67,19.78,19.44,42035107.0,19.48,0.0000,2.2700
INTC,2009-10-08,19.74,19.98,19.5,74199386.0,19.88,0.1100,0.0000
INTC,2009-10-13,20.51,20.69,20.35,116652680.0,20.49,1.4000,0.4400
INTC,2009-10-14,21.26,21.27,20.78,164972309.0,20.83,1.6500,0.7000
INTC,2009-10-15,20.81,20.93,20.54,80532873.0,20.67,0.8900,0.0000
INTC,2009-10-16,20.47,20.57,20.02,75760758.0,20.18,0.0000,0.4100
INTC,2009-10-20,20.47,20.58,20.11,67829001.0,20.18,2.1500,0.0000
INTC,2009-10-21,20.17,20.42,19.66,88171762.0,19.86,1.9900,0.0000
INTC,2009-10-27,20.01,20.13,19.67,68171429.0,19.74,0.0000,1.6200
INTC,2009-10-28,19.6,19.75,19.02,87595185.0,19.03,2.2000,0.0000
INTC,2009-10-30,19.31,19.34,18.74,92276249.0,19.11,1.7500,0.0000
INTC,2009-11-04,18.61,18.83,18.5,85837068.0,18.59,0.7700,0.6300
INTC,2009-11-05,18.72,19.1,18.62,66146505.0,18.89,2.6700,0.0000
INTC,2009-11-13,19.72,19.95,19.58,43966500.0,19.82,0.5000,0.0000
INTC,2009-11-19,19.4,19.4,18.95,108665088.0,19.3,0.5900,0.8800
INTC,2009-12-16,19.5,19.8,19.28,96648441.0,19.38,0.0000,3.0000
INTC,2010-01-11,21.11,21.15,20.82,51086391.0,20.95,0.4000,1.5200
INTC,2010-01-12,20.87,20.9,20.38,69958348.0,20.61,1.5000,0.9200
INTC,2010-01-13,20.72,21.08,20.44,71446628.0,20.96,0.0000,3.2000
INTC,2010-01-14,21.11,21.55,21.05,151893213.0,21.48,1.2100,0.3500
INTC,2010-01-15,21.39,21.4,20.77,198104931.0,20.8,0.6700,0.5500
INTC,2010-01-19,20.9,21.17,20.85,82573499.0,21.05,0.6400,1.9300
INTC,2010-01-21,21.15,21.31,20.68,73633287.0,20.84,0.0000,1.6800
INTC,2010-02-10,19.59,19.87,19.45,56250601.0,19.69,2.0000,0.0000
INTC,2010-02-18,20.64,20.85,20.54,42613583.0,20.84,0.3300,0.0000
INTC,2010-03-05,20.66,20.84,20.45,45886755.0,20.79,0.0000,1.2400
INTC,2010-03-11,21.14,21.27,20.99,53786518.0,21.25,0.0000,2.1100
INTC,2010-03-16,21.23,22.04,21.2,123060818.0,22.01,1.0800,0.3400
INTC,2010-03-17,22.06,22.35,21.91,77805858.0,22.24,1.4600,0.0000
INTC,2010-03-22,21.87,22.3,21.84,47405631.0,22.24,2.4700,0.0000
INTC,2010-03-26,22.43,22.59,22.07,45700422.0,22.24,2.6100,0.0000
INTC,2010-03-29,22.42,22.49,22.26,34467889.0,22.33,0.0000,0.0000
