Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
MSFT,2009-09-01,24.35,24.74,23.9,62608465.0,24.0,0.9400,0.2500
MSFT,2009-09-03,23.91,24.14,23.76,34120376.0,24.11,0.0000,2.8800
MSFT,2009-09-23,25.92,26.25,25.64,60603558.0,25.71,2.1700,0.0000
MSFT,2009-10-01,25.4,25.47,24.8,75958097.0,24.88,0.0000,1.6300
MSFT,2009-10-08,25.44,25.9,25.22,60521239.0,25.67,1.2000,1.3500
MSFT,2009-10-09,25.57,25.79,25.46,39522259.0,25.55,0.0000,0.6200
MSFT,2009-10-12,25.66,25.89,25.55,29153569.0,25.72,0.3000,1.1500
MSFT,2009-10-13,25.59,25.94,25.52,37748964.0,25.81,1.7800,0.0000
MSFT,2009-10-15,25.9,26.71,25.9,65620101.0,26.71,2.3400,0.0000
MSFT,2009-10-16,26.45,26.63,26.1,56500866.0,26.5,0.0000,1.0400
MSFT,2009-10-20,26.42,26.51,25.94,54613476.0,26.37,1.6300,0.0000
MSFT,2009-10-21,26.46,26.75,26.39,61672603.0,26.58,0.0000,0.0000
MSFT,2009-10-22,26.56,26.72,26.13,61599926.0,26.59,1.7000,0.0000
MSFT,2009-10-23,29.2,29.35,27.88,281760947.0,28.02,0.6500,1.1900
MSFT,2009-10-29,28.07,28.41,27.85,65232886.0,28.22,1.8300,0.0000
MSFT,2009-11-03,27.64,27.74,27.43,50294715.0,27.53,1.3800,0.0000
MSFT,2009-11-04,27.69,28.39,27.62,63898306.0,28.06,0.7700,0.9500
MSFT,2009-11-05,28.52,28.74,28.28,52683314.0,28.47,0.1300,0.0000
MSFT,2009-11-12,29.01,29.49,29.0,55360706.0,29.36,0.0000,2.7800
MSFT,2009-11-13,29.47,29.79,29.37,53044975.0,29.63,0.5000,0.0000
MSFT,2009-11-17,29.5,30.0,29.47,75648887.0,30.0,0.6000,0.0000
MSFT,2009-11-18,30.0,30.14,29.81,59440915.0,30.11,0.0000,0.0000
MSFT,2009-11-20,29.66,29.77,29.43,42648018.0,29.62,0.7400,0.3000
MSFT,2009-12-08,29.52,29.74,29.38,37407912.0,29.57,0.0300,0.0000
MSFT,2009-12-22,30.6,30.93,30.54,36320920.0,30.82,1.6000,0.0000
MSFT,2009-12-30,31.15,31.29,30.8,42007597.0,30.96,2.2200,0.0000
MSFT,2010-01-08,30.28,30.88,30.24,51201289.0,30.66,1.6400,0.0000
MSFT,2010-01-14,30.31,31.1,30.26,63244767.0,30.96,1.9800,0.0000
MSFT,2010-01-19,30.75,31.24,30.68,46582886.0,31.1,0.3300,0.0000
MSFT,2010-01-25,29.24,29.66,29.1,63381173.0,29.32,0.0000,2.8000
MSFT,2010-01-26,29.2,29.85,29.09,66647676.0,29.5,0.0000,0.4500
MSFT,2010-01-28,29.84,29.87,28.89,117513692.0,29.16,1.6500,0.0000
MSFT,2010-01-29,29.9,29.92,27.66,193888424.0,28.18,1.5000,0.3800
MSFT,2010-02-02,28.37,28.5,28.14,54413654.0,28.46,2.2800,0.0000
MSFT,2010-02-03,28.26,28.79,28.12,61397848.0,28.63,2.6500,0.0000
MSFT,2010-02-04,28.38,28.5,27.81,77849968.0,27.84,0.0000,0.4900
MSFT,2010-02-08,28.01,28.08,27.57,52826474.0,27.72,0.0000,2.5000
MSFT,2010-02-12,27.81,28.06,27.58,81121515.0,27.93,2.5800,0.0000
MSFT,2010-02-15,,,,0.0,27.93,0.0000,1.6100
