Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
ORCL,2009-09-15,22.73,22.88,22.6,24791137.0,22.66,1.2000,0.0000
ORCL,2009-09-16,22.6,22.61,21.98,86377141.0,22.13,0.0000,1.8700
ORCL,2009-09-23,21.47,21.47,21.05,40677880.0,21.13,0.0000,0.4000
ORCL,2009-11-09,21.61,21.87,21.5,22678174.0,21.83,2.1100,0.0000
ORCL,2009-12-14,22.96,23.44,22.91,32293989.0,23.31,2.9000,0.0000
ORCL,2009-12-15,23.11,23.46,23.06,24653729.0,23.16,1.8000,0.0000
ORCL,2009-12-17,23.07,23.19,22.77,35972611.0,22.88,1.7300,0.0000
ORCL,2009-12-18,24.01,24.74,23.98,88246415.0,24.34,1.6400,0.7400
ORCL,2010-01-12,24.56,24.61,24.31,26204637.0,24.56,2.6400,0.0000
ORCL,2010-01-13,24.63,24.99,24.55,24912305.0,24.8,2.2000,0.0000
ORCL,2010-01-14,25.13,25.58,25.05,44685267.0,25.34,1.9500,0.0000
ORCL,2010-01-25,24.24,24.27,23.82,26366658.0,24.03,0.0000,2.1700
ORCL,2010-03-17,25.23,25.7,25.14,30309440.0,25.47,1.2500,0.9500
ORCL,2010-03-23,25.67,26.0,25.54,25834259.0,25.99,2.5700,0.0000
ORCL,2010-03-24,25.98,26.0,25.7,28837083.0,25.76,0.9800,1.0300
ORCL,2010-03-25,25.95,26.25,25.72,54350942.0,26.04,1.0800,1.1100
ORCL,2010-03-26,25.7,26.0,25.37,58562219.0,25.69,0.9100,0.9800
ORCL,2010-03-30,25.48,25.58,25.22,29819413.0,25.54,1.1100,0.7700
ORCL,2010-04-01,25.78,25.95,25.2,26562756.0,25.46,1.6000,0.6700
ORCL,2010-04-05,25.51,25.74,25.35,19390264.0,25.58,1.7800,0.0000
ORCL,2010-04-09,25.8,26.14,25.65,19663719.0,26.13,2.3000,0.0000
ORCL,2010-04-12,26.06,26.28,25.85,24773310.0,26.2,2.5600,0.0000
ORCL,2010-04-13,26.01,26.63,26.0,33933012.0,26.35,2.1500,0.0000
ORCL,2010-04-26,26.5,26.61,26.25,20080534.0,26.47,0.0000,2.3900
ORCL,2010-04-29,25.99,26.14,25.71,18620120.0,25.97,1.2500,0.9500
ORCL,2010-05-12,24.21,24.7,24.19,27116362.0,24.6,0.0000,0.3300
ORCL,2010-05-27,22.35,22.61,22.27,29881443.0,22.58,2.2000,0.0000
ORCL,2010-06-18,23.26,23.26,22.97,29538932.0,23.2,0.0000,1.7000
ORCL,2010-06-24,22.49,22.7,22.14,30313510.0,22.22,2.9000,0.0000
ORCL,2010-06-25,23.14,23.25,22.56,62583804.0,22.66,2.8900,0.0000
ORCL,2010-06-28,22.84,22.85,22.39,24643105.0,22.45,0.0000,0.9900
ORCL,2010-07-22,23.72,24.41,23.7,32726517.0,24.31,2.8900,0.0000
ORCL,2010-07-26,24.45,24.67,24.35,27093008.0,24.64,0.7100,0.0000
ORCL,2010-07-29,24.25,24.39,23.63,39976704.0,23.7,0.0000,2.8800
ORCL,2010-07-30,23.57,23.84,23.4,48321737.0,23.64,0.9600,0.0000
ORCL,2010-08-05,24.28,24.44,24.14,18723644.0,24.29,0.0000,1.5500
ORCL,2010-08-13,22.76,22.94,22.51,29793466.0,22.66,2.0000,0.0000
ORCL,2010-09-07,24.56,24.69,24.01,113824415.0,24.26,1.1900,0.4600
ORCL,2010-09-15,25.27,25.79,25.17,37563655.0,25.74,0.0000,0.4100
ORCL,2010-09-16,25.68,25.71,25.21,52951027.0,25.36,1.1900,0.4300
ORCL,2010-09-17,26.44,27.62,26.4,150976599.0,27.48,0.8200,0.5900
ORCL,2010-09-20,27.35,27.57,27.03,49729891.0,27.49,0.8800,0.8800
ORCL,2010-09-21,27.33,27.36,26.7,82733990.0,26.82,0.3700,1.8500
ORCL,2010-09-22,26.66,27.33,26.64,51969191.0,27.2,2.1100,0.0000
ORCL,2010-09-23,26.96,27.49,26.96,33123304.0,27.12,1.3700,0.8300
ORCL,2010-09-24,27.44,27.5,26.74,58136207.0,26.96,1.6100,0.0000
ORCL,2010-09-27,26.86,27.12,26.78,34142971.0,26.95,2.1900,0.0000
ORCL,2010-09-28,27.06,27.4,26.79,43256725.0,27.19,0.0000,1.5200
ORCL,2010-09-29,27.07,27.3,26.93,36626838.0,27.17,1.6100,0.0000
ORCL,2010-09-30,27.28,27.41,26.81,42880923.0,26.85,1.4500,0.3500
ORCL,2010-10-01,27.18,27.61,27.14,33690444.0,27.24,1.6500,0.0000
ORCL,2010-10-04,27.02,27.36,26.89,36791994.0,26.9,2.9900,0.0000
ORCL,2010-10-05,27.21,27.35,27.06,42520100.0,27.3,1.6400,0.0000
ORCL,2010-10-06,27.3,27.86,27.24,50631689.0,27.58,1.7200,0.3100
ORCL,2010-10-07,27.63,27.89,27.54,40611462.0,27.69,0.4500,0.6100
ORCL,2010-10-08,27.59,28.08,27.31,33162910.0,28.0,1.7500,0.0000
ORCL,2010-10-11,27.9,28.1,27.73,22649501.0,27.85,2.5500,0.0000
ORCL,2010-10-12,27.75,28.0,27.41,27552559.0,27.95,0.0000,1.1100
ORCL,2010-10-13,28.0,28.91,26.98,49145331.0,28.6,1.4500,0.5700
ORCL,2010-10-14,28.66,28.7,28.11,38136014.0,28.33,0.6100,0.3400
ORCL,2010-10-18,28.73,29.23,28.58,35810373.0,29.23,2.2800,0.0000
ORCL,2010-10-19,28.94,29.24,28.45,44673675.0,29.13,2.1900,0.0000
ORCL,2010-10-20,29.01,29.18,28.6,39081789.0,28.64,1.8700,0.0000
ORCL,2010-10-22,28.84,29.03,28.73,16499803.0,28.99,2.0000,0.0000
ORCL,2010-10-25,29.15,29.29,28.81,30650473.0,28.84,1.2100,0.3000
ORCL,2010-10-26,28.71,28.84,28.54,28045410.0,28.63,0.0000,1.3000
ORCL,2010-10-27,28.55,28.82,28.36,33890193.0,28.7,0.0000,2.4500
ORCL,2010-11-02,29.49,29.57,29.26,24201936.0,29.53,2.5200,0.0000
ORCL,2010-11-05,29.3,29.5,28.98,28312759.0,29.25,0.0800,0.9500
ORCL,2010-11-09,29.06,29.25,28.61,34625805.0,28.74,0.0000,3.1100
ORCL,2010-11-10,28.64,28.84,28.36,27841029.0,28.69,2.1300,0.0000
ORCL,2010-11-12,28.5,28.61,28.09,25818801.0,28.32,2.3000,0.0000
ORCL,2010-11-17,27.51,28.11,27.49,24642718.0,27.91,2.5300,0.0000
ORCL,2010-11-18,28.37,28.6,28.16,32649298.0,28.31,0.0000,1.6000
ORCL,2010-11-24,27.67,27.88,27.62,34983865.0,27.74,1.4300,0.0000
ORCL,2010-11-29,27.17,27.34,26.91,32610717.0,27.22,2.6000,0.0000
ORCL,2010-12-01,27.54,27.7,27.41,34781314.0,27.65,2.0300,0.0000
ORCL,2010-12-02,27.81,28.18,27.69,32129940.0,28.1,1.8000,0.0000
ORCL,2010-12-03,28.08,28.9,28.06,34454687.0,28.81,0.8700,1.2100
ORCL,2010-12-09,29.35,29.49,29.04,18260216.0,29.26,0.0000,1.2000
ORCL,2010-12-10,29.44,29.98,29.42,28562054.0,29.94,1.7400,0.0000
