Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
QCOM,2009-09-08,45.9,46.04,45.51,15378148.0,46.02,0.1300,0.0000
QCOM,2009-09-11,46.65,46.71,45.92,10466369.0,46.61,1.9400,0.0000
QCOM,2009-09-30,45.72,45.83,44.51,20263939.0,44.98,1.8100,0.0000
QCOM,2009-10-09,41.46,41.77,40.5,34601443.0,41.7,2.2500,0.0000
QCOM,2009-10-21,41.26,41.95,41.26,17578178.0,41.41,0.0000,2.6700
QCOM,2009-11-06,43.52,43.97,43.4,15993656.0,43.9,2.0000,0.0000
QCOM,2009-11-30,44.82,45.07,44.32,11360280.0,45.0,0.0000,0.7800
QCOM,2009-12-04,45.03,45.68,44.68,14668395.0,45.16,1.3300,0.0000
QCOM,2009-12-07,45.11,45.42,44.8,8485744.0,44.89,1.4000,0.0000
QCOM,2009-12-15,44.58,45.26,44.45,11320521.0,44.88,3.0000,0.0000
QCOM,2009-12-30,46.31,46.99,46.24,7559298.0,46.86,2.0000,0.0000
QCOM,2010-01-27,46.52,47.31,46.27,27302897.0,47.2,0.0000,2.3500
QCOM,2010-01-28,42.11,42.11,40.01,130892117.0,40.48,1.2700,0.4700
QCOM,2010-01-29,40.83,40.88,38.49,112830240.0,39.19,0.0000,3.1100
QCOM,2010-02-01,39.25,39.97,38.68,54762583.0,39.77,1.3000,0.0000
QCOM,2010-02-02,39.82,39.89,38.98,45670206.0,39.26,0.4400,1.1600
QCOM,2010-02-10,37.71,38.16,37.32,23742337.0,37.43,0.0000,0.5000
QCOM,2010-02-12,38.18,39.0,37.98,37314041.0,38.84,1.3200,0.2900
QCOM,2010-02-15,,,,0.0,38.84,1.5800,0.0000
QCOM,2010-02-16,39.09,39.3,38.7,34302564.0,39.02,1.5800,0.0000
QCOM,2010-02-24,38.61,38.67,37.67,27119218.0,37.87,1.4300,0.0000
QCOM,2010-03-01,36.82,36.82,35.46,59160909.0,35.56,2.3300,0.0000
QCOM,2010-03-02,36.75,38.46,36.57,77896111.0,37.93,1.9800,0.0000
QCOM,2010-03-03,38.48,39.16,38.37,42163796.0,38.69,2.6000,0.0000
QCOM,2010-03-10,38.57,39.1,38.5,15250923.0,38.88,2.5000,0.0000
QCOM,2010-03-17,39.05,39.2,38.71,23287394.0,38.9,2.0400,0.0000
QCOM,2010-03-18,39.23,40.53,39.16,45529025.0,40.43,1.0300,0.5300
QCOM,2010-03-19,40.52,40.61,39.78,33420131.0,40.05,1.0800,0.5000
QCOM,2010-03-22,40.08,40.54,39.87,16394459.0,40.28,1.9100,0.0000
QCOM,2010-03-25,42.54,43.84,42.0,67308658.0,42.19,1.2200,0.8000
QCOM,2010-03-29,42.0,42.09,41.6,11592628.0,41.76,0.0000,1.5100
QCOM,2010-03-30,42.45,42.5,41.94,20720903.0,42.13,0.3000,1.4400
QCOM,2010-03-31,41.99,42.22,41.84,14934424.0,41.96,2.1200,0.0000
QCOM,2010-04-12,42.03,42.46,42.0,8808676.0,42.23,0.6700,0.0000
QCOM,2010-04-13,42.03,42.39,41.8,10764144.0,42.3,2.4400,0.0000
QCOM,2010-04-14,42.23,42.8,42.1,19717635.0,42.6,2.2000,0.0000
QCOM,2010-04-16,42.68,42.98,42.25,23841101.0,42.74,1.1500,0.0000
QCOM,2010-04-19,42.63,42.99,42.25,14960421.0,42.75,0.0000,2.4000
QCOM,2010-04-21,43.33,43.39,42.27,34304498.0,42.63,0.9900,0.7700
QCOM,2010-04-22,39.75,40.35,38.88,96916511.0,39.33,0.3800,1.8400
QCOM,2010-04-23,38.98,39.03,37.8,64250817.0,38.25,0.0000,2.1700
QCOM,2010-04-27,38.23,38.84,37.84,35403932.0,37.92,1.5100,0.0000
QCOM,2010-04-28,38.22,38.85,38.0,27705833.0,38.82,2.7200,0.0000
QCOM,2010-04-29,38.97,39.22,38.77,17673367.0,38.98,1.5600,0.0000
QCOM,2010-05-04,38.27,38.3,37.01,25190705.0,37.6,0.9000,1.7200
QCOM,2010-05-12,38.0,38.39,37.72,17607474.0,38.16,0.0000,2.0200
QCOM,2010-06-11,34.54,35.47,34.52,14725485.0,35.36,2.2200,0.0000
QCOM,2010-06-29,33.78,33.79,32.87,27848076.0,33.14,2.3700,0.0000
QCOM,2010-07-13,35.51,35.98,35.34,21448585.0,35.95,1.4700,0.0000
QCOM,2010-07-14,36.24,37.09,35.98,31168958.0,36.9,0.2000,0.0000
QCOM,2010-07-21,36.86,37.0,35.81,22978744.0,36.16,1.6300,0.1600
QCOM,2010-07-22,38.34,39.52,38.3,56105738.0,39.11,1.5600,0.0000
QCOM,2010-07-23,39.03,39.66,38.78,31486847.0,39.08,1.7700,0.0000
QCOM,2010-07-29,39.35,39.42,38.26,21459504.0,38.78,0.0000,1.3200
QCOM,2010-07-30,38.26,38.39,37.76,22121260.0,38.08,3.8900,0.0000
QCOM,2010-08-04,38.39,38.62,38.01,9949092.0,38.43,0.6300,0.0000
QCOM,2010-08-10,39.5,40.0,39.08,17161710.0,39.78,2.5100,0.0000
QCOM,2010-08-12,37.83,38.89,37.8,19583043.0,38.24,2.1300,0.0000
QCOM,2010-08-18,39.1,39.41,38.61,13506054.0,39.04,2.0300,0.0000
QCOM,2010-08-19,38.75,38.84,37.72,21575812.0,38.11,2.1400,0.0000
QCOM,2010-08-26,38.67,38.82,37.98,14513500.0,38.28,1.9000,0.0000
QCOM,2010-09-01,38.96,40.15,38.92,27619097.0,39.6,0.7500,0.0000
QCOM,2010-09-02,39.69,40.03,39.45,12675242.0,40.02,2.0000,0.0000
QCOM,2010-09-17,42.12,42.75,41.94,31733859.0,42.53,1.7700,0.0000
QCOM,2010-09-21,43.21,43.87,43.11,16768839.0,43.51,0.0000,1.9000
QCOM,2010-09-22,43.55,43.76,42.7,16159665.0,43.3,0.0000,0.5000
QCOM,2010-09-24,43.95,44.97,43.86,22619267.0,44.55,0.1500,0.0000
