Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
SAP,2009-09-24,50.12,50.14,49.0,1346911.0,49.21,0.0000,2.8000
SAP,2009-11-11,47.79,48.16,47.52,1600652.0,47.7,2.3800,0.0000
SAP,2010-02-08,44.64,44.85,43.11,10072150.0,43.29,0.0000,2.1100
SAP,2010-03-25,47.7,47.84,46.97,3076016.0,46.99,2.1000,0.0000
SAP,2010-04-29,47.18,47.72,47.18,1894680.0,47.37,1.3100,0.0000
SAP,2010-05-06,45.15,45.59,42.45,2789296.0,44.38,2.4400,0.0000
SAP,2010-05-12,45.76,46.07,44.54,6142651.0,44.9,1.6900,0.0000
SAP,2010-05-13,44.25,44.93,44.07,3027004.0,44.54,0.0000,0.7000
SAP,2010-09-30,49.88,50.06,48.89,2058961.0,49.31,1.1200,0.7000
SAP,2010-10-14,53.83,53.89,53.03,2515494.0,53.4,0.0000,2.8200
SAP,2010-10-27,51.33,51.95,50.74,4629234.0,51.27,0.0000,2.4500
SAP,2010-11-10,50.96,51.23,50.26,1744351.0,51.13,2.1300,0.0000
SAP,2010-11-24,47.95,48.26,47.85,1824365.0,48.15,1.1000,0.0000
SAP,2011-01-13,52.38,54.69,51.52,7972636.0,54.58,2.1100,0.0000
SAP,2011-01-26,56.38,56.5,55.92,2566214.0,56.46,3.0000,0.0000
SAP,2011-01-31,57.97,58.29,57.73,1846484.0,57.9,2.1300,0.0000
SAP,2011-02-04,58.42,59.0,58.3,1389474.0,58.91,2.8600,0.0000
SAP,2011-02-25,59.0,59.84,58.99,716980.0,59.69,0.0000,0.0000
SAP,2011-02-28,61.23,61.28,60.12,1474307.0,60.4,0.0000,3.4400
SAP,2011-04-21,66.65,66.94,65.99,1122457.0,66.62,2.2200,0.0000
SAP,2011-04-27,67.15,68.39,66.86,1217175.0,68.31,2.6700,0.0000
SAP,2011-04-28,63.78,64.07,63.2,3467065.0,63.57,0.0000,1.8500
SAP,2011-05-31,62.21,62.26,61.58,3271081.0,62.17,0.0000,0.0000
SAP,2011-07-26,60.38,64.83,59.92,7480826.0,64.5,1.5200,0.6300
SAP,2011-07-28,62.52,63.14,62.21,2264972.0,62.5,2.3900,0.0000
SAP,2011-08-10,52.48,52.53,49.78,3587218.0,50.01,0.0000,2.4000
SAP,2011-08-18,49.91,49.92,48.31,2961512.0,48.9,0.0000,2.9000
SAP,2011-08-26,51.87,53.26,51.33,2833850.0,53.13,1.7800,0.0000
SAP,2011-08-30,53.25,54.17,52.88,1455488.0,53.89,0.0000,2.5000
SAP,2011-09-08,51.78,52.51,51.13,2162455.0,51.28,2.4200,0.0000
SAP,2011-09-14,49.15,50.68,48.38,4657179.0,50.29,1.9000,0.0000
SAP,2011-09-20,50.87,51.45,50.32,2237216.0,50.59,2.8900,0.0000
SAP,2011-10-06,50.88,52.63,50.7,1371615.0,52.59,0.0000,0.0000
SAP,2011-10-11,54.49,55.14,54.33,1093576.0,55.1,1.1200,0.0000
SAP,2011-10-12,55.37,56.26,54.94,1320929.0,55.69,0.0000,0.1100
SAP,2011-10-26,61.0,61.2,59.4,2123313.0,60.62,1.4500,0.0000
SAP,2011-10-27,61.89,63.43,61.34,2333024.0,62.09,1.9000,0.0000
SAP,2011-11-04,60.86,61.36,60.5,2982646.0,61.07,1.9300,0.0000
SAP,2011-11-17,59.61,59.89,58.45,1270768.0,58.87,0.0000,0.5900
SAP,2011-11-18,59.27,59.29,58.38,902868.0,58.56,0.0000,2.2300
SAP,2011-12-05,59.09,59.4,58.2,3263684.0,58.38,2.1400,0.0500
SAP,2011-12-21,52.71,53.35,51.4,6343977.0,52.24,1.3300,0.8800
SAP,2011-12-23,52.55,53.29,52.46,1123996.0,53.25,1.5600,0.0000
SAP,2011-12-28,52.81,52.83,51.96,1606627.0,52.21,1.5000,0.0300
SAP,2012-01-03,54.28,54.65,54.13,2083312.0,54.43,2.0000,0.0000
SAP,2012-01-13,54.64,54.8,54.01,5496890.0,54.56,2.0700,0.0000
SAP,2012-01-26,59.74,59.93,59.24,2182194.0,59.29,2.2900,0.0000
SAP,2012-02-02,62.06,62.53,61.79,1293261.0,61.92,0.0000,2.0000
SAP,2012-02-09,63.4,64.26,63.25,2939151.0,63.85,2.5000,0.0000
SAP,2012-02-27,66.11,67.32,66.04,914343.0,67.01,2.5600,0.0000
SAP,2012-03-02,67.81,67.85,67.36,1006439.0,67.66,1.4100,0.0000
SAP,2012-03-05,68.32,68.35,67.63,1309813.0,68.1,0.0000,2.2200
SAP,2012-03-08,67.85,69.04,67.73,1436876.0,68.8,2.0700,0.0000
SAP,2012-03-09,68.69,69.13,68.54,1006122.0,68.99,2.1300,0.0000
SAP,2012-03-12,68.64,69.5,68.54,719177.0,69.39,2.2000,0.0000
SAP,2012-03-13,69.64,70.77,69.62,2876630.0,70.77,2.3200,0.0000
SAP,2012-03-14,70.47,70.8,70.12,2908626.0,70.43,2.3300,0.0000
SAP,2012-04-13,66.49,66.51,64.49,5666431.0,65.42,2.0000,0.0000
SAP,2012-04-16,63.87,64.22,63.38,3275752.0,63.73,3.0000,0.0000
SAP,2012-04-17,64.27,65.13,63.91,2400795.0,64.95,1.9800,0.0000
SAP,2012-04-25,65.45,66.12,65.33,4945401.0,65.96,0.5200,0.0000
SAP,2012-05-22,59.41,59.76,58.21,2979254.0,58.69,2.0000,0.0000
SAP,2012-05-23,58.53,58.97,57.74,2280775.0,58.8,1.8100,0.0000
SAP,2012-06-28,56.06,56.28,55.55,1812398.0,56.22,2.1600,0.0000
SAP,2012-07-05,58.35,59.26,58.11,2329652.0,58.82,2.0000,0.0000
SAP,2012-07-12,59.2,59.49,57.46,11270786.0,58.4,1.3000,0.5400
