Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
TWTR,2009-09-03,166.44,167.1,165.0,10503673.0,166.55,1.3300,0.0000
TWTR,2009-09-04,167.28,170.7,167.09,13379522.0,170.31,2.1800,0.0000
TWTR,2009-09-09,172.78,174.47,169.7,28974698.0,171.14,0.0000,1.8000
TWTR,2009-09-18,185.83,186.55,184.76,21490980.0,185.02,0.0000,1.7000
TWTR,2009-09-28,183.87,186.68,183.33,12058857.0,186.15,2.5000,0.0000
TWTR,2009-10-07,189.76,190.55,189.03,16630987.0,190.25,0.0000,2.1100
TWTR,2009-10-08,190.66,191.45,188.89,15650328.0,189.27,0.0000,1.8200
TWTR,2009-10-14,192.25,192.32,190.23,13420377.0,191.29,0.9500,1.3400
TWTR,2009-10-15,189.63,190.92,189.53,13341246.0,190.56,1.9000,0.0000
TWTR,2009-10-26,203.67,206.75,200.1,17297769.0,202.48,2.0500,0.0000
TWTR,2009-11-18,206.54,207.0,204.0,13368552.0,205.96,0.0000,0.0000
TWTR,2009-11-30,201.11,201.68,198.77,15173418.0,199.91,0.0000,2.2200
TWTR,2009-12-10,199.5,199.7,196.12,17488165.0,196.43,0.0000,0.1100
TWTR,2009-12-15,195.83,197.51,193.27,14989779.0,194.17,0.8000,0.0000
TWTR,2009-12-18,193.17,195.5,192.6,21741788.0,195.43,0.6400,0.0000
TWTR,2010-03-01,205.75,209.5,205.45,19646169.0,208.99,0.8900,0.0000
TWTR,2010-03-16,224.18,224.98,222.51,15960948.0,224.45,1.5000,0.0000
TWTR,2010-03-31,235.49,236.61,234.46,15380651.0,235.0,0.0000,1.4400
TWTR,2010-04-12,242.2,243.07,241.81,11900548.0,242.29,3.0000,0.0000
TWTR,2010-04-13,241.86,242.8,241.11,10936075.0,242.43,0.0000,2.1000
TWTR,2010-04-20,248.54,249.25,242.96,26368711.0,244.59,0.0000,0.0000
TWTR,2010-04-22,258.24,266.75,256.2,28336545.0,266.47,1.6700,0.0000
TWTR,2010-05-03,263.84,267.88,262.88,16226433.0,266.35,0.0000,0.0000
TWTR,2010-05-19,249.5,252.92,244.85,36633058.0,248.34,0.0000,1.7800
TWTR,2010-06-09,251.47,251.9,242.49,30522453.0,243.2,0.0000,2.2200
TWTR,2010-06-15,255.64,259.85,255.5,20895471.0,259.69,2.2800,0.0000
