Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
TXN,2009-09-09,25.03,25.28,24.76,12821791.0,25.14,1.4100,0.0000
TXN,2009-09-10,25.15,25.35,24.85,20197697.0,25.0,2.1700,0.0000
TXN,2009-09-11,24.95,24.98,24.3,20994667.0,24.39,1.6100,0.0000
TXN,2009-09-17,24.1,24.2,23.6,19479690.0,23.6,0.0000,1.8900
TXN,2009-10-19,23.0,23.55,22.89,36034834.0,23.52,0.6700,0.4700
TXN,2009-10-30,24.09,24.18,23.38,23463382.0,23.45,1.2200,0.0000
TXN,2009-11-02,23.38,23.61,23.04,18532410.0,23.45,2.1000,0.0000
TXN,2009-11-19,24.8,24.96,24.45,19635471.0,24.88,0.8900,0.0000
TXN,2009-12-08,26.72,26.9,25.12,18215385.0,26.33,2.1400,0.0000
TXN,2010-01-04,26.2,26.61,25.89,10369316.0,26.01,0.0000,1.6700
TXN,2010-03-08,25.09,25.09,24.55,22269106.0,24.69,0.0000,2.1300
TXN,2010-03-09,24.29,24.49,23.87,27990538.0,24.19,0.4500,0.0000
TXN,2010-03-11,24.38,24.4,23.8,23088219.0,24.07,0.0000,2.1100
TXN,2010-03-25,25.16,25.22,24.78,11306403.0,24.79,0.0000,1.9700
TXN,2010-04-13,25.63,26.0,25.58,11606620.0,25.87,2.7800,0.0000
TXN,2010-04-26,26.86,27.35,26.79,21070393.0,27.16,1.5600,0.1100
TXN,2010-04-27,26.8,27.44,26.41,37649115.0,26.54,0.8900,0.9500
TXN,2010-04-28,26.75,26.76,26.09,17188287.0,26.4,0.0000,1.9000
TXN,2010-04-29,26.64,27.05,26.36,15133430.0,27.01,1.6600,0.0000
TXN,2010-07-19,24.87,25.58,24.87,15505973.0,25.55,0.0300,1.1800
TXN,2010-09-10,23.57,23.89,23.26,17329542.0,23.7,1.9000,0.0000
TXN,2010-09-17,25.59,25.85,25.24,25212029.0,25.72,0.0000,1.1100
TXN,2010-09-30,26.89,27.4,26.74,19052377.0,27.14,0.1900,0.0000
TXN,2010-10-05,27.44,28.5,27.41,23035053.0,28.33,0.0000,0.0000
TXN,2010-10-13,28.35,28.45,28.03,20238309.0,28.12,0.0000,2.1100
TXN,2010-10-14,28.17,28.54,27.93,13072535.0,28.31,2.7800,0.0000
TXN,2010-10-18,28.64,28.71,28.04,11535306.0,28.36,2.3300,0.0000
