Symbol,Date,Open,High,Low,Volume,Close,Bullish,Bearish
YHOO,2009-09-01,14.5,14.68,14.15,30623369.0,14.18,0.0000,2.4000
YHOO,2009-09-03,14.36,14.43,14.16,14663635.0,14.28,0.0000,2.1500
YHOO,2009-09-08,14.65,14.66,14.37,17714746.0,14.49,2.2200,0.0000
YHOO,2009-09-10,15.28,15.63,15.15,49083235.0,15.45,2.2700,0.0000
YHOO,2009-09-15,16.01,16.49,15.87,64668146.0,16.41,1.9000,0.0000
YHOO,2009-09-30,17.48,17.94,17.24,39880782.0,17.81,2.1800,0.0000
YHOO,2009-10-02,17.23,17.35,16.78,32685224.0,16.84,2.1100,0.0000
YHOO,2009-10-16,16.61,16.85,16.4,20486260.0,16.81,0.0000,2.1800
YHOO,2009-10-20,17.37,17.41,16.87,38320395.0,17.17,2.1400,0.0000
YHOO,2009-10-23,17.71,17.75,17.09,17760359.0,17.22,0.0000,1.5000
YHOO,2009-10-26,17.05,17.2,16.67,21215853.0,16.87,0.0000,2.4900
YHOO,2009-10-27,16.69,16.87,16.35,19917748.0,16.69,0.0000,2.0000
YHOO,2010-01-26,15.82,16.17,15.7,43979302.0,15.99,0.9500,0.2300
YHOO,2010-02-03,15.12,15.6,15.12,24730564.0,15.46,1.0000,0.0000
YHOO,2010-02-10,15.02,15.02,14.48,36518008.0,14.8,0.0000,1.8700
YHOO,2010-02-12,15.07,15.19,14.85,18929239.0,15.17,2.2200,0.0000
YHOO,2010-02-24,15.48,15.71,15.33,19285254.0,15.59,1.9800,0.0000
YHOO,2010-03-29,16.48,16.68,16.47,14903382.0,16.56,2.3000,0.0000
YHOO,2010-04-06,16.55,16.98,16.42,25696677.0,16.92,0.6700,1.0000
YHOO,2010-04-07,16.78,16.92,16.76,19926465.0,16.87,1.4600,0.0000
YHOO,2010-04-08,16.91,17.41,16.9,45369131.0,17.35,2.3000,0.0000
YHOO,2010-04-09,17.42,18.07,17.24,47732998.0,17.52,0.1800,1.2700
YHOO,2010-04-12,17.52,17.88,17.41,22832954.0,17.64,0.7800,0.0000
YHOO,2010-04-13,17.51,18.3,17.4,47517352.0,18.18,1.1600,0.4400
YHOO,2010-04-14,18.15,18.47,18.06,41028485.0,18.38,1.4400,0.0000
YHOO,2010-04-20,18.5,18.52,18.22,39171899.0,18.38,0.9000,1.0000
YHOO,2010-04-21,17.58,17.78,17.3,71686144.0,17.45,0.5100,1.1000
YHOO,2010-04-23,17.71,17.83,17.5,18902572.0,17.64,0.0000,2.8000
YHOO,2010-04-28,16.98,17.0,16.63,26462001.0,16.75,0.7600,1.0400
YHOO,2010-04-29,16.82,17.05,16.78,16792947.0,16.97,3.0000,0.0000
